stratumOrStand,acres,forestCoverTypeId,siteClass,basalArea,meanDbh,meanDbhBasis,operablePercent,structure,currentSawtimberMbfPerAcre,currentGreenTonsPerAcre,notes
131201 — WoodWise Timberlands — Broadleaf Dominant,1056,saf-25,1,34.2,10.1,qmd,90,even-aged,,,"SOURCE: WoodWise Timberlands FMP, pp. 27–31. Acreage, BA and average DBH are plan values. Forest cover type and structure are best-fit interpretations from species composition/current condition. Site class 1 and 90% operable follow the calibrated SRT defaults; plan DBH is entered as qmd for consistency with that file."
131202 — WoodWise Timberlands — Harvested 2014-2024,275,saf-30,1,26.6,9.2,qmd,90,two-aged,,,"SOURCE: WoodWise Timberlands FMP, pp. 27–31. Acreage, BA and average DBH are plan values. Forest cover type and structure are best-fit interpretations from species composition/current condition. Site class 1 and 90% operable follow the calibrated SRT defaults; plan DBH is entered as qmd for consistency with that file."
131203 — WoodWise Timberlands — Harvested 2014-2024,482,saf-25,1,29.6,9.1,qmd,90,two-aged,,,"SOURCE: WoodWise Timberlands FMP, pp. 27–31. Acreage, BA and average DBH are plan values. Forest cover type and structure are best-fit interpretations from species composition/current condition. Site class 1 and 90% operable follow the calibrated SRT defaults; plan DBH is entered as qmd for consistency with that file."
131204 — WoodWise Timberlands — Harvested 2004-2014,157,saf-60,1,23.1,8.9,qmd,90,even-aged,,,"SOURCE: WoodWise Timberlands FMP, pp. 27–31. Acreage, BA and average DBH are plan values. Forest cover type and structure are best-fit interpretations from species composition/current condition. Site class 1 and 90% operable follow the calibrated SRT defaults; plan DBH is entered as qmd for consistency with that file."
131205 — WoodWise Timberlands — Evergreen Dominant,57,saf-21,2,15.4,5.9,qmd,90,two-aged,,,"SOURCE: WoodWise Timberlands FMP, pp. 27–31. Acreage, BA and average DBH are plan values. Forest cover type and structure are best-fit interpretations from species composition/current condition. Site class 2 and 90% operable follow the calibrated SRT defaults; plan DBH is entered as qmd for consistency with that file."
WWLC — Hornell PAI,2392,saf-25,2,89.5,10.2,qmd,90,even-aged,,,"PROXY: WWLC FMP, pp. 4–5, reports this PAI acreage but no PAI-level BA or DBH. BA 89.5 and DBH 10.2 are the acreage-weighted averages of the four quantified WWFL forest-condition categories, used only as a temporary modeling proxy. Cover type is inferred from the WWLC portfolio narrative; site class 2, 90% operable and even-aged structure are calibration defaults. Replace when PAI inventory metrics are available."
WWLC — Buffalo PAI,1152,saf-25,2,89.5,10.2,qmd,90,even-aged,,,"PROXY: WWLC FMP, pp. 4–5, reports this PAI acreage but no PAI-level BA or DBH. BA 89.5 and DBH 10.2 are the acreage-weighted averages of the four quantified WWFL forest-condition categories, used only as a temporary modeling proxy. Cover type is inferred from the WWLC portfolio narrative; site class 2, 90% operable and even-aged structure are calibration defaults. Replace when PAI inventory metrics are available."
WWLC — Rochester PAI,172,saf-25,2,89.5,10.2,qmd,90,even-aged,,,"PROXY: WWLC FMP, pp. 4–5, reports this PAI acreage but no PAI-level BA or DBH. BA 89.5 and DBH 10.2 are the acreage-weighted averages of the four quantified WWFL forest-condition categories, used only as a temporary modeling proxy. Cover type is inferred from the WWLC portfolio narrative; site class 2, 90% operable and even-aged structure are calibration defaults. Replace when PAI inventory metrics are available."
WWLC — Cortland PAI,430,saf-25,2,89.5,10.2,qmd,90,even-aged,,,"PROXY: WWLC FMP, pp. 4–5, reports this PAI acreage but no PAI-level BA or DBH. BA 89.5 and DBH 10.2 are the acreage-weighted averages of the four quantified WWFL forest-condition categories, used only as a temporary modeling proxy. Cover type is inferred from the WWLC portfolio narrative; site class 2, 90% operable and even-aged structure are calibration defaults. Replace when PAI inventory metrics are available."
WWLC — Hancock PAI,803,saf-25,2,89.5,10.2,qmd,90,even-aged,,,"PROXY: WWLC FMP, pp. 4–5, reports this PAI acreage but no PAI-level BA or DBH. BA 89.5 and DBH 10.2 are the acreage-weighted averages of the four quantified WWFL forest-condition categories, used only as a temporary modeling proxy. Cover type is inferred from the WWLC portfolio narrative; site class 2, 90% operable and even-aged structure are calibration defaults. Replace when PAI inventory metrics are available."
WWLC — Albany PAI,473,saf-24,2,89.5,10.2,qmd,90,even-aged,,,"PROXY: WWLC FMP, pp. 4–5, reports this PAI acreage but no PAI-level BA or DBH. BA 89.5 and DBH 10.2 are the acreage-weighted averages of the four quantified WWFL forest-condition categories, used only as a temporary modeling proxy. Cover type is inferred from the WWLC portfolio narrative; site class 2, 90% operable and even-aged structure are calibration defaults. Replace when PAI inventory metrics are available."
WWLC — Williamstown PAI,530,saf-25,2,89.5,10.2,qmd,90,even-aged,,,"PROXY: WWLC FMP, pp. 4–5, reports this PAI acreage but no PAI-level BA or DBH. BA 89.5 and DBH 10.2 are the acreage-weighted averages of the four quantified WWFL forest-condition categories, used only as a temporary modeling proxy. Cover type is inferred from the WWLC portfolio narrative; site class 2, 90% operable and even-aged structure are calibration defaults. Replace when PAI inventory metrics are available."
WWFL — Mixed Northern Hardwood — Red Maple Dominance,5597.8,saf-108,2,87.7,9.5,qmd,90,even-aged,,,"SOURCE: WWFL FMP, p. 10. Acreage, BA and average DBH are plan values. Forest cover type is translated to the closest app choice; site class 2 and 90% operable follow the SRT calibration. Structure is inferred from the condition label and portfolio management description; plan DBH is entered as qmd for consistency."
WWFL — Mixed Northern Hardwood — Sugar Maple Dominance,8612.85,saf-25,2,83,10.3,qmd,90,even-aged,,,"SOURCE: WWFL FMP, p. 10. Acreage, BA and average DBH are plan values. Forest cover type is translated to the closest app choice; site class 2 and 90% operable follow the SRT calibration. Structure is inferred from the condition label and portfolio management description; plan DBH is entered as qmd for consistency."
WWFL — Mixed Northern Softwood — Eastern White Pine Dominance,1388.2,saf-21,2,116,11.6,qmd,90,even-aged,,,"SOURCE: WWFL FMP, p. 10. Acreage, BA and average DBH are plan values. Forest cover type is translated to the closest app choice; site class 2 and 90% operable follow the SRT calibration. Structure is inferred from the condition label and portfolio management description; plan DBH is entered as qmd for consistency."
WWFL — Older Growth Forest Indicators,1278.5,saf-25,2,113,10.8,qmd,90,two-aged,,,"SOURCE: WWFL FMP, p. 10. Acreage, BA and average DBH are plan values. Forest cover type is translated to the closest app choice; site class 2 and 90% operable follow the SRT calibration. Structure is inferred from the condition label and portfolio management description; plan DBH is entered as qmd for consistency."
WWFL — Other Forestland Not Allocated Among Listed Condition Categories,1197.6,saf-25,2,89.5,10.2,qmd,90,even-aged,,,"RECONCILIATION WITHIN WWFL PLAN: the four quantified categories on p. 10 sum to 16,877.35 acres, while the plan states 18,074.95 acres. This 1,197.60-acre difference is retained explicitly. BA 89.5 and DBH 10.2 are weighted averages of the four listed categories; SAF 25 is a temporary mixed-northern-hardwood proxy."
WoodWise Portfolio — Unstratified Acreage Reconciliation,1999.05,saf-25,2,89.5,10.2,qmd,90,even-aged,,,"PORTFOLIO RECONCILIATION/PROXY: 1,999.05 acres are required for all CSV rows to total the user-specified 52,374 acres. The supplied plans do not separately allocate these acres to a quantified stand or condition class. BA 89.5, DBH 10.2 and SAF 25 are temporary WWFL-weighted modeling proxies and must be replaced when the ownership/stand allocation is confirmed."
